iter	Passed	Remaining
0	3	3578
1	8	4266
2	13	4489
3	16	4148
4	19	3939
5	24	4066
6	27	3951
7	31	3956
8	35	3875
9	38	3775
10	43	3906
11	47	3881
12	50	3846
13	54	3860
14	57	3797
15	62	3841
16	69	3993
17	111	6107
18	120	6237
19	140	6862
20	145	6798
21	174	7775
22	185	7863
23	190	7745
24	196	7655
25	212	7963
26	220	7962
27	228	7929
28	234	7861
29	241	7803
30	248	7756
31	252	7640
32	256	7525
33	260	7407
34	263	7278
35	266	7146
36	272	7094
37	276	6993
38	279	6878
39	282	6771
40	286	6708
41	289	6612
42	296	6598
43	300	6518
44	303	6439
45	306	6352
46	308	6262
47	311	6182
48	314	6106
49	318	6059
50	321	5981
51	324	5907
52	326	5832
53	328	5761
54	331	5688
55	333	5619
56	335	5553
57	337	5488
58	341	5453
59	344	5393
60	346	5332
61	348	5274
62	351	5220
63	353	5167
64	355	5115
65	357	5062
66	359	5012
67	362	4965
68	366	4938
69	368	4894
70	370	4851
71	373	4811
72	375	4770
73	377	4729
74	380	4688
75	382	4647
76	384	4607
77	386	4569
78	390	4547
79	392	4511
80	394	4475
81	396	4440
82	398	4406
83	401	4374
84	403	4345
85	405	4313
86	408	4282
87	410	4252
88	413	4237
89	417	4220
90	420	4204
91	423	4183
92	426	4155
93	428	4128
94	430	4101
95	432	4074
96	435	4055
97	439	4046
98	442	4026
99	444	4002
100	447	3983
101	449	3959
102	451	3935
103	454	3911
104	456	3888
105	458	3867
106	463	3864
107	465	3843
108	467	3822
109	469	3802
110	472	3781
111	474	3759
112	476	3740
113	478	3720
114	481	3701
115	485	3696
116	488	3682
117	490	3669
118	493	3651
119	495	3635
120	498	3619
121	500	3602
122	503	3588
123	506	3580
124	511	3581
125	514	3571
126	517	3559
127	520	3546
128	523	3533
129	526	3520
130	528	3507
131	533	3510
132	537	3506
133	540	3496
134	543	3485
135	546	3473
136	549	3464
137	553	3457
138	558	3461
139	562	3453
140	565	3443
141	568	3434
142	571	3425
143	574	3416
144	577	3407
145	583	3412
146	586	3404
147	590	3396
148	593	3388
149	597	3385
150	600	3378
151	606	3383
152	610	3382
153	614	3377
154	618	3372
155	621	3364
156	625	3359
157	631	3367
158	635	3361
159	639	3356
160	643	3355
161	647	3348
162	652	3352
163	657	3349
164	660	3345
165	664	3338
166	668	3334
167	672	3328
168	678	3334
169	681	3329
170	685	3323
171	689	3317
172	692	3311
173	696	3306
174	702	3310
175	706	3306
176	709	3298
177	712	3292
178	716	3287
179	720	3281
180	726	3288
181	730	3284
182	734	3279
183	738	3273
184	741	3267
185	746	3265
186	750	3264
187	754	3259
188	758	3255
189	762	3249
190	765	3244
191	769	3239
192	775	3243
193	779	3239
194	783	3233
195	787	3230
196	791	3227
197	798	3233
198	802	3231
199	808	3234
200	813	3234
201	820	3243
202	826	3243
203	831	3245
204	835	3240
205	839	3236
206	847	3245
207	851	3242
208	855	3237
209	859	3234
210	870	3255
211	877	3261
212	883	3265
213	893	3282
214	900	3286
215	907	3293
216	920	3322
217	928	3329
218	934	3333
219	951	3371
220	959	3380
221	973	3412
222	983	3425
223	999	3463
224	1008	3475
225	1023	3506
226	1043	3552
227	1053	3565
228	1063	3581
229	1074	3597
230	1097	3653
231	1103	3653
232	1113	3664
233	1119	3665
234	1126	3665
235	1141	3695
236	1148	3697
237	1154	3694
238	1166	3714
239	1173	3715
240	1181	3722
241	1190	3727
242	1195	3724
243	1200	3719
244	1210	3730
245	1216	3728
246	1223	3728
247	1235	3745
248	1240	3741
249	1246	3739
250	1256	3749
251	1262	3746
252	1267	3741
253	1274	3743
254	1280	3741
255	1290	3750
256	1296	3747
257	1305	3755
258	1311	3752
259	1317	3748
260	1322	3744
261	1330	3748
262	1336	3744
263	1340	3738
264	1346	3734
265	1351	3730
266	1357	3726
267	1362	3720
268	1366	3714
269	1372	3710
270	1378	3707
271	1383	3702
272	1388	3697
273	1393	3692
274	1398	3686
275	1402	3679
276	1407	3673
277	1411	3666
278	1416	3660
279	1424	3663
280	1429	3658
281	1435	3654
282	1440	3649
283	1448	3652
284	1453	3647
285	1459	3642
286	1464	3637
287	1470	3636
288	1479	3638
289	1484	3633
290	1489	3629
291	1499	3634
292	1502	3625
293	1507	3619
294	1512	3614
295	1521	3619
296	1526	3614
297	1532	3609
298	1537	3603
299	1545	3606
300	1550	3600
301	1555	3594
302	1559	3587
303	1569	3594
304	1574	3587
305	1577	3577
306	1580	3568
307	1586	3563
308	1593	3562
309	1597	3555
310	1600	3546
311	1604	3538
312	1610	3534
313	1616	3530
314	1620	3524
315	1627	3521
316	1635	3523
317	1643	3523
318	1648	3518
319	1653	3514
320	1661	3514
321	1667	3510
322	1673	3506
323	1678	3502
324	1687	3504
325	1692	3499
326	1697	3493
327	1706	3495
328	1713	3493
329	1718	3488
330	1723	3483
331	1734	3488
332	1739	3483
333	1744	3477
334	1749	3472
335	1757	3473
336	1762	3466
337	1766	3460
338	1771	3454
339	1778	3452
340	1783	3446
341	1787	3439
342	1792	3433
343	1797	3428
344	1803	3423
345	1808	3418
346	1812	3411
347	1817	3404
348	1821	3398
349	1827	3394
350	1832	3388
351	1837	3382
352	1842	3376
353	1849	3374
354	1853	3368
355	1858	3362
356	1863	3356
357	1869	3352
358	1875	3348
359	1880	3342
360	1885	3336
361	1889	3330
362	1895	3326
363	1900	3320
364	1905	3314
365	1909	3308
366	1914	3301
367	1921	3299
368	1925	3292
369	1929	3285
370	1934	3279
371	1938	3272
372	1944	3268
373	1949	3262
374	1953	3256
375	1958	3249
376	1962	3243
377	1969	3240
378	1974	3235
379	1979	3229
380	1983	3222
381	1987	3215
382	1992	3210
383	1997	3204
384	2001	3197
385	2006	3191
386	2010	3184
387	2016	3180
388	2020	3173
389	2025	3167
390	2029	3160
391	2034	3155
392	2042	3154
393	2047	3149
394	2052	3143
395	2056	3137
